num_paralela,num_x,tercero,cod_op,op_2021,apli,importe,exp_gasto,exp_gestor,SP
00159222B10009141,*,*,2001000,00159221310009399,20221401  312A1  22199,60.0,101000000288,,01
00159222B10009142,*,000B86817707,2002300,00159221310010455,20221401  312A1  22199,60.0,101000000533,,01
00159222B10009143,*,*,2001000,00159221310009401,20221401  312A1  22106,1809610.0,101000000297,,01
00159222B10009144,*,000B61526414,2002300,00159221310025413,20221401  312A1  22106,1809610.0,101000002288,,01
00159222B10009145,*,*,2001000,00159221310009403,20221401  312A1  22799,921473.0,101000000299,,01
00159222B10009146,*,000B39400817,2002300,00159221310041429,20221401  312A1  22799,921473.0,101000004100,,01
00159222B10009147,*,*,2001000,00159221310009665,20221401  312A1  22106,5.0,101000000364,,01
00159222B10009148,*,000B45453487,2002300,00159221310010062,20221401  312A1  22106,5.0,101000000526,,01
00159222B10009149,*,*,2001000,00159221310009899,20221401  121M2  22700,6.0,101000000407,,01
00159222B10009150,*,000A27178789,2002300,00159221310015523,20221401  121M2  22700,6.0,101000001189,,01
00159222B10009151,*,*,2001000,00159221310009903,20221401  121M2  22700,7454.0,101000000411,,01
00159222B10009152,*,000A80364243,2002300,00159221310019018,20221401  121M2  22700,7454.0,101000001576,,01
00159222B10009153,*,*,2001000,00159221310009905,20221401  312A1  22102,3766.0,101000000414,,01
00159222B10009154,*,000A61797536,2002300,00159221310017777,20221401  312A1  22102,3766.0,101000001481,,01
00159222B10009155,*,*,2001000,00159221310010384,20221401  312A1  22106,11568.0,101000000555,,01
00159222B10009156,*,000A58710740,2002300,00159221310016331,20221401  312A1  22106,11568.0,101000001339,,01
00159222B10009157,*,*,2001000,00159221310010915,20221401  312A1  22106,2350.0,101000000614,,01
00159222B10009158,*,000A62512579,2002300,00159221310025410,20221401  312A1  22106,2350.0,101000002278,,01
00159222B10009159,*,*,2001000,00159221310010916,20221401  312A1  22106,4925.0,101000000622,,01
00159222B10009160,*,000A28114742,2002300,00159221310021917,20221401  312A1  22106,4925.0,101000001901,,01
00159222B10009161,*,*,2001000,00159221310010917,20221401  312A1  22106,68260.0,101000000623,,01
00159222B10009162,*,000A08099681,2002300,00159221310021919,20221401  312A1  22106,68260.0,101000001905,,01
00159222B10009163,*,*,2001000,00159221310010918,20221401  312A1  22106,1141215.0,101000000624,,01
00159222B10009164,*,000B83279331,2002300,00159221310028226,20221401  312A1  22106,1141215.0,101000002496,,01
00159222B10009165,*,*,2001000,00159221310010919,20221401  312A1  22106,24230.0,101000000626,,01
00159222B10009166,*,000A28664589,2002300,00159221310041428,20221401  312A1  22106,24230.0,101000004099,,01
00159222B10009167,*,*,2001000,00159221310010922,20221401  312A1  22106,364629.0,101000000655,,01
00159222B10009168,*,000B60805769,2002300,00159221310021911,20221401  312A1  22106,364629.0,101000001888,,01
00159222B10009169,*,*,2001000,00159221310010923,20221401  312A1  22106,770000.0,101000000656,,01
00159222B10009170,*,000A79389920,2002300,00159221310019213,20221401  312A1  22106,770000.0,101000001621,,01
00159222B10009171,*,*,2001000,00159221310010949,20221401  121M   16209,600214.0,399300000535,,01
00159222B10009172,*,000B83143131,2002300,00159221310020584,20221401  121M   16209,600214.0,399300002236,,01
00159222B10009173,*,*,2001000,00159221310011229,20221401  312A1  22106,485252.0,101000000611,,01
00159222B10009174,*,000B80355480,2002300,00159221310021916,20221401  312A1  22106,485252.0,101000001898,,01
00159222B10009175,*,*,2001000,00159221310011230,20221401  121M2  22102,4990038.0,101000000681,,01
00159222B10009176,*,000A61797536,2002300,00159221310018200,20221401  121M2  22102,4990038.0,101000001526,,01
00159222B10009177,*,*,2001000,00159221310011232,20221401  312A1  213,1.0,101000000689,,01
00159222B10009178,*,000B50600584,2002300,00159221310013101,20221401  312A1  213,1.0,101000000983,,01
00159222B10009179,*,*,2001000,00159221310011554,20221401  312A1  212,2.0,101000000738,,01
00159222B10009180,*,000B81296949,2002300,00159221310023124,20221401  312A1  212,2.0,101000002065,,01
00159222B10009181,*,*,2001000,00159221310011558,20221401  121M2  22105,108.0,101000000740,,01
00159222B10009182,*,000B22033617,2002300,00159221310050587,20221401  121M2  22105,108.0,013022100278,,01
00159222B10009183,*,*,2001000,00159221310011558,20221401  121M2  22105,74.0,101000000740,,01
00159222B10009184,*,000B22033617,2002300,00159221310050589,20221401  121M2  22105,74.0,013022100278,,01
00159222B10009185,*,*,2001000,00159221310011804,20221401  121M   16201,32961.0,102000000225,,01
00159222B10009186,*,000B81405664,2002300,00159221310017617,20221401  121M   16201,32961.0,102000000454,,01
00159222B10009187,*,*,2001000,00159221310011805,20221401  121M   16201,890080.0,102000000226,,01
00159222B10009188,*,000B30852842,2002300,00159221310017619,20221401  121M   16201,890080.0,102000000460,,01
00159222B10009189,*,*,2001000,00159221310011806,20221401  121M   16201,240561.0,102000000227,,01
00159222B10009190,*,000B97254403,2002300,00159221310017616,20221401  121M   16201,240561.0,102000000453,,01
00159222B10009191,*,*,2001000,00159221310011807,20221401  121M   16201,2596640.0,102000000228,,01
00159222B10009192,*,000B92881721,2002300,00159221310017618,20221401  121M   16201,2596640.0,102000000459,,01
00159222B10009193,*,*,2001000,00159221310011813,20221401  121M2  22102,13582787.0,101000000816,,01
00159222B10009194,*,000A61797536,2002300,00159221310020785,20221401  121M2  22102,13582787.0,101000001778,,01
00159222B10009195,*,*,2001000,00159221310012150,20221401  312A1  212,205797.0,101000000854,,01
00159222B10009196,*,000A28517308,2002300,00159221310040467,20221401  312A1  212,205797.0,101000003912,,01
00159222B10009197,*,*,2001000,00159221310012438,20221401  121M2  22799,15137.0,101000000887,,01
